creado,usuario,texto,favs,retweets,isRetweet,id,URL
2018-02-28T15:38:28Z,Dexanfetamina,#RayoEvolizador https://t.co/e1Pbg6gHU6,71,21,FALSE,968873039541743616,https://t.co/e1Pbg6gHU6
2018-02-28T15:41:46Z,Dexanfetamina,#RayoEvolizador https://t.co/0WHSSQ1WRH,37,10,FALSE,968873869833658368,https://t.co/0WHSSQ1WRH
2018-02-28T15:47:07Z,Dexanfetamina,#RayoEvolizador https://t.co/2LU4BnkSzl,114,30,FALSE,968875217224380416,https://t.co/2LU4BnkSzl
2018-02-28T15:49:18Z,Dexanfetamina,#RayoEvolizador https://t.co/VJLdc1gycY,7,1,FALSE,968875765986136064,https://t.co/VJLdc1gycY
2018-02-28T15:54:28Z,Jonatangl,#RayoEvolizador https://t.co/5FTOyRm8Tl,23,8,FALSE,968877066182643716,https://t.co/5FTOyRm8Tl
2018-02-28T15:54:36Z,Dexanfetamina,#RayoEvolizador https://t.co/6BxE7UsuoU,88,23,FALSE,968877100408111104,https://t.co/6BxE7UsuoU
2018-02-28T15:59:34Z,cristhianj1992,#RayoEvolizador https://t.co/qa0bpDiszE,5,3,FALSE,968878351074160640,https://t.co/qa0bpDiszE
2018-02-28T16:02:40Z,cristhianj1992,#RayoEvolizador https://t.co/lI9Dtq8fOu,5,1,FALSE,968879130421972992,https://t.co/lI9Dtq8fOu
2018-02-28T16:06:19Z,Jonatangl,#RayoEvolizador https://t.co/zKwQWu4JNf,10,2,FALSE,968880051927203840,https://t.co/zKwQWu4JNf
2018-02-28T16:09:56Z,pedrotardio,ay diosss! jajajajaja #RayoEvolizador https://t.co/KaV2IZtcEy,36,3,FALSE,968880959343996929,https://t.co/KaV2IZtcEy
2018-02-28T16:11:25Z,Dexanfetamina,#RayoEvolizador https://t.co/A0BQEaAIDz,37,1,FALSE,968881333115252736,https://t.co/A0BQEaAIDz
2018-02-28T16:14:21Z,Dexanfetamina,#RayoEvolizador https://t.co/xkkcIN7T09,40,6,FALSE,968882069656031233,https://t.co/xkkcIN7T09
2018-02-28T16:15:15Z,pedrotardio,#RayoEvolizador https://t.co/C0kcwDl8Sc,2,0,FALSE,968882297628971009,https://t.co/C0kcwDl8Sc
2018-02-28T16:16:17Z,Dhampire,#RayoEvolizador https://t.co/J9rKmea7gJ,15,5,FALSE,968882559215075334,https://t.co/J9rKmea7gJ
2018-02-28T16:16:32Z,Dexanfetamina,#RayoEvolizador https://t.co/rvCGYuhq5e,73,19,FALSE,968882620137443328,https://t.co/rvCGYuhq5e
2018-02-28T16:19:31Z,Dexanfetamina,#RayoEvolizador https://t.co/JNn3MgVqnw,53,12,FALSE,968883373027536902,https://t.co/JNn3MgVqnw
2018-02-28T16:23:46Z,ciudadano_scz,@Dexanfetamina #rayoevolizador https://t.co/VmbG1CdP3Y,35,11,FALSE,968884442277269505,https://t.co/VmbG1CdP3Y
2018-02-28T16:27:51Z,hipstericia,#RayoEvolizador https://t.co/3pX9O4eLB0,23,3,FALSE,968885467470065664,https://t.co/3pX9O4eLB0
2018-02-28T16:35:02Z,GSanchez_P,#RayoEvolizador https://t.co/l1sTZ2FZeV,74,27,FALSE,968887277215715329,https://t.co/l1sTZ2FZeV
2018-02-28T16:43:54Z,leonardortn,#RayoEvolizador https://t.co/xLlplSjOvz,164,86,FALSE,968889508434497536,https://t.co/xLlplSjOvz
2018-02-28T16:46:29Z,Campu_AM,#RayoEvolizador https://t.co/eFgY0gf5DC,27,12,FALSE,968890156693508099,https://t.co/eFgY0gf5DC
2018-02-28T16:48:44Z,rociorecalde17,"Tuitósfera boliviana, háganse un favor y pasen por el hashtag #RayoEvolizador o por el TL de @Dexanfetamina y olvídense de sus penas.",23,8,FALSE,968890725311090689,NA
2018-02-28T16:56:49Z,Jonatangl,#RayoEvolizador https://t.co/0lMM8GrjRB,11,3,FALSE,968892759313657861,https://t.co/0lMM8GrjRB
2018-02-28T16:57:45Z,Campu_AM,#RayoEvolizador https://t.co/4tcEZ39BAU,25,9,FALSE,968892991774642176,https://t.co/4tcEZ39BAU
2018-02-28T17:00:33Z,Jonatangl,#RayoEvolizador https://t.co/E5JlHZLFnc,9,3,FALSE,968893698196025344,https://t.co/E5JlHZLFnc
2018-02-28T17:03:19Z,UCruceno,"Ayudemos a Dexa a que su cohete se le eleve en el cielo de la tuitosfera.

#RayoEvolizador https://t.co/TJOZfIMUOd",118,40,FALSE,968894395805290502,https://t.co/TJOZfIMUOd
2018-02-28T17:04:01Z,nedcy,"los amo chicos, gracias por tanto #RayoEvolizador",3,0,FALSE,968894569462095877,NA
2018-02-28T17:11:56Z,GSanchez_P,#RayoEvolizador https://t.co/HUJR2LpVxl,27,12,FALSE,968896560930217985,https://t.co/HUJR2LpVxl
2018-02-28T17:12:28Z,locacomotumadre,#RayoEvolizador https://t.co/rqTKgQx91j,30,8,FALSE,968896697664499714,https://t.co/rqTKgQx91j
2018-02-28T17:13:44Z,arquitecta,"la gente de internet nunca duerme, muero de risa con #RayoEvolizador",7,1,FALSE,968897014196002816,NA
2018-02-28T17:15:46Z,Sumaj_Warmi,#RayoEvolizador https://t.co/OLUMOtd03p,42,29,FALSE,968897526010085378,https://t.co/OLUMOtd03p
2018-02-28T17:18:51Z,Hans_Argote,"Gracias por tanto @Dexanfetamina
#RayoEvolizador https://t.co/PTYlvzNEai",5,0,FALSE,968898305425133569,https://t.co/PTYlvzNEai
2018-02-28T17:20:11Z,caalvapar,"Ya deje de ver los memes del #RayoEvolizador.
.
.
.
Tuve que parar después de botar mi jugo por la nariz en una reunión.",47,1,FALSE,968898640847699968,NA
2018-02-28T17:33:50Z,pedrotardio,❤️ #RayoEvolizador https://t.co/dEVgVSUe1S,2,1,FALSE,968902075559051264,https://t.co/dEVgVSUe1S
2018-02-28T17:37:12Z,Dexanfetamina,#RayoEvolizador https://t.co/keMAawP5Pn,10,1,FALSE,968902921755725830,https://t.co/keMAawP5Pn
2018-02-28T17:46:31Z,pedrotardio,ya pues chicos! viralizemos el #RayoEvolizador! que llegue a ser TT!,2,1,FALSE,968905265495109633,NA
