"text","favorited","favoriteCount","replyToSN","created_at","truncated","replyToSID","id","replyToUID","statusSource","screen_name","retweetCount","isRetweet","retweeted","longitude","latitude","from_user","reply_to","users_mentioned","retweet_from","hashtags_used"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-06 01:10:15,FALSE,,"970828875252019201",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marialmarquezch",1183,TRUE,FALSE,,,"marialmarquezch",,"evoespueblo","evoespueblo",
"RT @danforever: #RayoEvolizador asi cualquiera se saca un ""pr√©stamo"" del gobierno https://t.co/12jVhJHTOo",FALSE,0,,2018-03-06 00:50:07,FALSE,,"970823807253598208",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HAP5",4,TRUE,FALSE,,,"HAP5",,"danforever","danforever","#RayoEvolizador"
"RT @diarioeldeber: Evo agradece a los internautas por la creaci√≥n del #RayoEvolizador
https://t.co/RHi7RBsqOY https://t.co/N9MxMv8V6h",FALSE,0,,2018-03-06 00:30:42,FALSE,,"970818921136885761",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Xavi_lavigne",3,TRUE,FALSE,,,"Xavi_lavigne",,"diarioeldeber","diarioeldeber","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-06 00:27:56,FALSE,,"970818225071063041",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeresaT15163421",1183,TRUE,FALSE,,,"TeresaT15163421",,"evoespueblo","evoespueblo",
"Eso sin contar el #RayoEvolizador! https://t.co/uqmBsCFDrp",FALSE,1,,2018-03-06 00:18:49,FALSE,,"970815932833652737",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuixSP",0,FALSE,FALSE,,,"LuixSP",,,,"#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-05 23:44:38,FALSE,,"970807328973967360",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MostajoGerm",1183,TRUE,FALSE,,,"MostajoGerm",,"evoespueblo","evoespueblo",
"RT @LaRazon_Bolivia: #As√≠VaLaVida 
.@evoespueblo agradeci√≥ gesto de cibernautas por el #RayoEvolizador https://t.co/c0gteVqZUc https://t.co‚Ä¶",FALSE,0,,2018-03-05 23:30:09,FALSE,,"970803685151461382",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","efrain7272",11,TRUE,FALSE,,,"efrain7272",,"LaRazon_Bolivia evoespueblo","LaRazon_Bolivia","#As√≠VaLaVida #RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-05 22:55:24,FALSE,,"970794939276722176",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MeryRomero7018",1183,TRUE,FALSE,,,"MeryRomero7018",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-05 22:47:38,FALSE,,"970792982545920000",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rubenchiquij",1183,TRUE,FALSE,,,"rubenchiquij",,"evoespueblo","evoespueblo",
"#RayoEvolizador https://t.co/B2PCWHFvpp",FALSE,1,,2018-03-05 22:47:18,FALSE,,"970792901390274560",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VaneRetamozoV",0,FALSE,FALSE,,,"VaneRetamozoV",,,,"#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-05 21:44:01,FALSE,,"970776972858134528",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wreijav",1183,TRUE,FALSE,,,"Wreijav",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-05 21:05:54,FALSE,,"970767383831990278",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jesuscalderon00",1183,TRUE,FALSE,,,"jesuscalderon00",,"evoespueblo","evoespueblo",
"RT @jose_urey: #RayoEvolizador https://t.co/dOeSwAwSUw",FALSE,0,,2018-03-05 20:15:56,FALSE,,"970754808008335361",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mish_Delaf",6,TRUE,FALSE,,,"Mish_Delaf",,"jose_urey","jose_urey","#RayoEvolizador"
"RT @wilynoel: Una m√°s del  #RayoEvolizador https://t.co/aJ5ZT4gqdq",FALSE,0,,2018-03-05 19:58:05,FALSE,,"970750315434831873",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mertxeramos",28,TRUE,FALSE,,,"Mertxeramos",,"wilynoel","wilynoel","#RayoEvolizador"
"RT @danforever: #RayoEvolizador .......... jodidamente parad√≥jico https://t.co/TIXWVUQZsE",FALSE,0,,2018-03-05 19:38:33,FALSE,,"970745397709852672",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RodCoast",91,TRUE,FALSE,,,"RodCoast",,"danforever","danforever","#RayoEvolizador"
